# Isotope Spectrum Builder - bin metadata
# detector=NaI
# isotope=Cs-137
# n_bins=2048
# e_min_keV=0.0
# e_max_keV=2520.0
# normalization=raw
# acquisition_time_s=
# base_seed=42
# builder=Created by Dr K. Karafasoulis
# url=http://karafasoulis.eu
bin_index,e_low_keV,e_high_keV,e_center_keV,bin_width_keV
481,591.85546875,593.0859375,592.470703125,1.23046875
482,593.0859375,594.31640625,593.701171875,1.23046875
483,594.31640625,595.546875,594.931640625,1.23046875
484,595.546875,596.77734375,596.162109375,1.23046875
485,596.77734375,598.0078125,597.392578125,1.23046875
486,598.0078125,599.23828125,598.623046875,1.23046875
487,599.23828125,600.46875,599.853515625,1.23046875
488,600.46875,601.69921875,601.083984375,1.23046875
489,601.69921875,602.9296875,602.314453125,1.23046875
490,602.9296875,604.16015625,603.544921875,1.23046875
491,604.16015625,605.390625,604.775390625,1.23046875
492,605.390625,606.62109375,606.005859375,1.23046875
493,606.62109375,607.8515625,607.236328125,1.23046875
494,607.8515625,609.08203125,608.466796875,1.23046875
495,609.08203125,610.3125,609.697265625,1.23046875
496,610.3125,611.54296875,610.927734375,1.23046875
497,611.54296875,612.7734375,612.158203125,1.23046875
498,612.7734375,614.00390625,613.388671875,1.23046875
499,614.00390625,615.234375,614.619140625,1.23046875
500,615.234375,616.46484375,615.849609375,1.23046875
501,616.46484375,617.6953125,617.080078125,1.23046875
502,617.6953125,618.92578125,618.310546875,1.23046875
503,618.92578125,620.15625,619.541015625,1.23046875
504,620.15625,621.38671875,620.771484375,1.23046875
505,621.38671875,622.6171875,622.001953125,1.23046875
506,622.6171875,623.84765625,623.232421875,1.23046875
507,623.84765625,625.078125,624.462890625,1.23046875
508,625.078125,626.30859375,625.693359375,1.23046875
509,626.30859375,627.5390625,626.923828125,1.23046875
510,627.5390625,628.76953125,628.154296875,1.23046875
511,628.76953125,630.0,629.384765625,1.23046875
512,630.0,631.23046875,630.615234375,1.23046875
513,631.23046875,632.4609375,631.845703125,1.23046875
514,632.4609375,633.69140625,633.076171875,1.23046875
515,633.69140625,634.921875,634.306640625,1.23046875
516,634.921875,636.15234375,635.537109375,1.23046875
